dot_number,legal_name,dba_name,expert_label,safer_company_snapshot_url,pc_flag,phy_street,phy_city,phy_state,phy_zip,phy_country,mailing_street,mailing_city,mailing_state,mailing_zip,mailing_country,telephone,fax,email_address,mcs150_date,mcs150_mileage,mcs150_mileage_year,add_date,oic_state,nbr_power_unit,driver_total,recent_mileage,recent_mileage_year,vmt_source_id,private_only,authorized_for_hire,exempt_for_hire,private_property,private_passenger_business,private_passenger_nonbusiness,migrant,us_mail,federal_government,state_government,local_government,indian_tribe,op_other,usdot_status,cargo_carried,num_filings,num_unique_companies,top_company,top_company_share,cancelled_method_count,replaced_method_count,name_changed_method_count,transferred_method_count,first_filing_date,last_filing_date,all_companies,count_cargo,count_bipd,count_broker_bond,count_broker_trust_fund,median_gap_days
545169,MIKE NOVINGER,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=545169,FALSE,4246 SHELBY 138,SHELBYVILLE,MO,63469-9678,US,4246 SHELBY 138,SHELBYVILLE,MO,63469-9678,US,(660) 284-6555,,,31-Jul-24,10000,2024,10-Dec-93,MO,7,2,10000,2024,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Grain, Feed, Hay",,,,,,,,,,,,,,,,
1941739,BENEDETTINI CABINETRY LLC,,GREAT,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1941739,FALSE,533 HIGHWAY 36,ROSENBERG,TX,77471,US,533 HIGHWAY 36,ROSENBERG,TX,77471,US,(281) 633-8200,(281) 633-2370,MDICLEMENTE@BENECAB.COM,3-Dec-24,15000,2023,21-Sep-09,TX,5,2,15000,2023,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
1628810,RSM BUILDERS SUPPLY INC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1628810,FALSE,1800 W 8TH,AMARILLO,TX,79101,US,PO BOX 987,AMARILLO,TX,79105,US,(806) 372-8322,(806) 372-3819,RJONES@RSMBUILDERSSUPPLY.COM,15-Feb-23,1,2022,6-Apr-07,TX,3,2,1,2022,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Building Materials,,,,,,,,,,,,,,,,
2550741,JEFF GALAVEZ,GALAVEZ PLUMBING,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2550741,FALSE,1220 E MICHIGAN AVE,HOBBS,NM,88240,US,1220 E MICHIGAN AVE,HOBBS,NM,88240,US,(202) 521-1493,(575) 393-0641,GALAVEZPLUMBING@WINDSTREM.NET,16-Oct-14,,,16-Oct-14,NM,2,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"DIRT,SAND,COMPAN",,,,,,,,,,,,,,,,
2763668,PUREWAL EXPRESS INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2763668,FALSE,13611 RIVERCREST DRIVE,WATERFORD,CA,95386,US,13611 RIVERCREST DRIVE,WATERFORD,CA,95386,US,(209) 277-1696,,,9-Nov-22,,,1-Jul-15,CA,3,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Fresh Produce; Meat; Refrigerated Food,,,,,,,,,,,,,,,,
2328601,PITBULL ENERGY SERVICES LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2328601,FALSE,1800 SHALOM,GILLETTE,WY,82718,US,1800 SHALOM,GILLETTE,WY,82718,US,(307) 682-3052,(307) 682-8003,DHAND@VCN.COM,26-Jul-12,75000,2011,27-Jul-12,WY,3,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; Garbage/Refuse; Logs, Poles, Beams, Lumber; Oilfield Equipment",,,,,,,,,,,,,,,,
3274474,ZUZA LLC,GOLDEN STATE GRAPHICS,GREAT,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3274474,FALSE,2304 FARADAY AVE,CARLSBAD,CA,92008,US,2304 FARADAY AVE,CARLSBAD,CA,92008,US,(760) 494-9421,,KIMBERLY.MANNING@ZUZAPRINT.COM,6-Mar-24,18500,2024,16-Apr-19,CA,3,2,18500,2024,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Paper Products,,,,,,,,,,,,,,,,
4184140,EMMA HAULING LLC,,GREAT,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4184140,FALSE,1504 VINTAGE OAKS DR,DOSS,TX,78618,US,3200 MONTOPOLIS DR APT 4412,AUSTIN,TX,78744,US,(432) 308-1619,,JORGELIDUAN90@GMAIL.COM,27-Jan-25,15000,2024,24-Jan-24,TX,2,2,15000,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; Metal: sheets, coils, rolls",,,,,,,,,,,,,,,,
3286327,FATS OIL & GREASE ENVIRONMENTAL RECYCLING SPECIALIST FOGERS LLC,LAFOGERS,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3286327,FALSE,5836 VIA CORONA ST,LOS ANGELES,CA,90022,US,5836 VIA CORONA ST,LOS ANGELES,CA,90022-2809,US,(323) 205-6867,,POLICYSERVICE@SOLUTIONSSPECIALTY.COM,9-Aug-22,20000,2021,13-May-19,CA,2,2,0,0,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,RECYCLING SERVIC,,,,,,,,,,,,,,,,
4332124,AISHA TRUCKING INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4332124,FALSE,97 BLAKE RD N APT 115,HOPKINS,MN,55343,US,97 BLAKE RD N APT 115,HOPKINS,MN,55343-8216,US,(763) 283-8349,,AISHATRUCKINGINC@GMAIL.COM,7-Dec-24,,,7-Dec-24,MN,2,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Fresh Produce; General Freight; Meat; Refrigerated Food,10,1,CANAL INSURANCE CO.,1,5,5,0,0,12/27/24,5/8/25,CANAL INSURANCE CO.,0,10,0,0,0
3278583,SEITER COMPANIES LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3278583,FALSE,8810 42ND AVENUE NORTH,NEW HOPE,MN,55427,US,8810 42ND AVENUE NORTH,NEW HOPE,MN,55427,US,(715) 572-4001,,SEITERSTRIPINGCO@GMAIL.COM,27-Feb-24,5025,2023,25-Apr-19,MN,2,2,5025,2023,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,STRIPING EQUIPMENT,ACTIVE,STRIPING EQUIPME,,,,,,,,,,,,,,,,
4158341,IPS SAFE TRUCKING INC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4158341,FALSE,14300 POINTER LOOP,EASTVALE,CA,92880,US,14300 POINTER LOOP,EASTVALE,CA,92880,US,(626) 378-3301,,IPSSAFETRUCKINGINC@GMAIL.COM,11-Apr-25,87500,2025,17-Nov-23,CA,2,2,87500,2025,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,1,1,CLEAR SPRING PROPERTY AND CASUALTY COMPANY,1,1,0,0,0,12/18/23,12/18/23,CLEAR SPRING PROPERTY AND CASUALTY COMPANY,0,1,0,0,
3547622,CONSOLIDATED MANAGEMENT INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3547622,FALSE,243 S 7TH AVE,BRIGHTON,CO,80601-2124,US,992 S 4TH AVE UNIT 100 # 430,BRIGHTON,CO,80601-6803,US,(303) 944-8246,,CHRIS@CONSOLMANAGEMENTINC.COM,11-Jan-21,,,11-Jan-21,CO,2,6,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Agricultural/Farm Supplies; Building Materials; Construction; General Freight; Machinery, Large Objects; Motor Vehicles; Utilities",,,,,,,,,,,,,,,,
1229630,LESTER STUCK,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1229630,FALSE,15290 GRONINGEN ROAD,SANDSTONE,MN,55072,US,15290 GRONINGEN ROAD,SANDSTONE,MN,55072,US,(320) 245-2753,,,30-Mar-04,50000,2004,30-Mar-04,MN,2,1,0,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SAND AND GRAVEL,ACTIVE,"Agricultural/Farm Supplies; Beverages; Building Materials; Coal/Coke; Commodities Dry Bulk; Construction; Drive/Tow away; Fresh Produce; Garbage/Refuse; General Freight; Grain, Feed, Hay; Intermodal Cont.; Logs, Poles, Beams, Lumber; Machinery, Large Objects; Meat; Metal: sheets, coils, rolls; Mobile Homes; Motor Vehicles; Paper Products; Refrigerated Food; Utilities; Water Well",,,,,,,,,,,,,,,,
3247672,MEDICINAL CARE GREEN CROSS INC,QANABLISS,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3247672,FALSE,9870 SAN FERNANDO RD UNIT 112,LOS ANGELES,CA,91331,US,9870 SAN FERNANDO RD UNIT 112,LOS ANGELES,CA,91331,US,(818) 686-6748,,ACCOUNTING@QANABLISS.COM,16-Jun-25,5000,2023,19-Feb-19,CA,2,2,5000,2023,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Commodities Dry Bulk; General Freight,,,,,,,,,,,,,,,,
3509976,SIENNA HILLS OPERATIONS LLC,OVATION SIENNA HILLS,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3509976,FALSE,1525 EAST OVATION PLACE,WASHINGTON,UT,84780,US,25117 SW PARKWAY AVE STE F,WILSONVILLE,OR,97070-9697,US,(435) 538-3401,,ERICK.LORENZANA@OVATIONBYAVAMERE.COM,19-Jul-25,5000,2024,23-Oct-20,UT,2,12,5000,2024,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,OUT-OF-SERVICE,Passengers,,,,,,,,,,,,,,,,
3274004,AGUIRRE TRUCKING LLC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3274004,FALSE,949 E 50 N,HEBER CITY,UT,84032-3064,US,949 E 50 N,HEBER,UT,84032,US,(435) 503-1014,,AGUIRREJIHOVANI@GMAIL.COM,12-Feb-24,30000,2023,15-Apr-19,UT,2,2,30000,2023,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Construction,,,,,,,,,,,,,,,,
1524189,JAMES R SIEBEN,TRACTOR SERVICES & TRUCKING,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1524189,FALSE,211 FLAMINGO RD,SANDPOINT,ID,83864,US,PO BOX 514,DOVER,ID,83825,US,(208) 255-9347,,,17-Jun-06,,,30-Jun-06,ID,2,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Building Materials; Construction,,,,,,,,,,,,,,,,
3563167,JA ROD TRUCKING LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3563167,FALSE,906 CORMORANT,SAN ANTONIO,TX,78245,US,906 CORMORANT,SAN ANTONIO,TX,78245,US,(956) 206-7258,,JUANRDZ66@LIVE.COM,7-Mar-25,191298,2024,3-Feb-21,TX,2,2,191298,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,12,4,CANAL INSURANCE CO.,0.41666667,6,5,1,0,3/12/21,10/1/24,"CANAL INSURANCE CO., INDEMNITY INSURANCE CO. OF NORTH AMERICA, PROGRESSIVE COUNTY MUTUAL, WESCO INSURANCE COMPANY",0,12,0,0,85
4429249,K & J TOWIN LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4429249,FALSE,4115 WESLOW ST,HOUSTON,TX,77087,US,4115 WESLOW ST,HOUSTON,TX,77087-2203,US,(832) 509-7283,,KJPERFORMANCE413@GMAIL.COM,24-Jun-25,,,24-Jun-25,TX,2,4,0,0,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Agricultural/Farm Supplies; Building Materials; Construction; General Freight; Grain, Feed, Hay; Household Goods; Logs, Poles, Beams, Lumber; Metal: sheets, coils, rolls; Motor Vehicles",1,1,PROGRESSIVE COUNTY MUTUAL,1,1,0,0,0,7/8/25,7/8/25,PROGRESSIVE COUNTY MUTUAL,0,1,0,0,
947444,DONALD P MILLER,ATA TRUCKING,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=947444,FALSE,431 E 2ND ST,LEADVILLE,CO,80461-3205,US,431 E 2ND ST,LEADVILLE,CO,80461-3205,US,(719) 486-8081,,,12-Apr-01,0,,13-Apr-01,CO,2,2,0,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,APPLYING FOR MC,ACTIVE,"Building Materials; Commodities Dry Bulk; General Freight; Logs, Poles, Beams, Lumber; Machinery, Large Objects",,,,,,,,,,,,,,,,
1109941,GUSSE BROTHERS CONSTRUCTION INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1109941,FALSE,1109 CROSSTOWN BLVD NE,HAM LAKE,MN,55304,US,1109 CROSSTOWN BLVD NE,HAM LAKE,MN,55304,US,(763) 434-4365,(763) 434-4365,,11-Mar-03,8000,2002,21-Mar-03,MN,2,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Machinery, Large Objects; ROCK DIRT",,,,,,,,,,,,,,,,
3079561,DIAMOND FUEL & FEED INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3079561,FALSE,829 S MAIN ST,CASCADE,ID,83611-5221,US,829 S MAIN ST,CASCADE,ID,83611-5221,US,(208) 382-4430,,CRG873@HOTMAIL.COM,9-Jul-20,1,2019,20-Dec-17,ID,2,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
4025896,M SPECIALIZED TRANSPORTATION LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4025896,FALSE,5655 ADDICKS SATSUMA RD STE 101,HOUSTON,TX,77084,US,5655 ADDICKS SATSUMA RD STE 101,HOUSTON,TX,77084,US,(346) 852-0209,(281) 674-8474,MSPECIALIZEDTRANSPORTATION@GMAIL.COM,6-Jun-25,275000,2024,9-Feb-23,TX,2,2,275000,2024,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,7,1,CLEAR BLUE INSURANCE COMPANY,1,4,3,0,0,3/24/23,3/24/25,CLEAR BLUE INSURANCE COMPANY,0,7,0,0,11
2865965,G & A TRANSPORT,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2865965,FALSE,42052 9TH ST,KNIGHTS LANDING,CA,95645,US,P O BOX 36,KNIGHTS LANDING,CA,95645,US,(530) 681-6155,,GATRANSPORT_ANA@YMAIL.COM,30-Jan-25,120000,2025,14-Mar-16,CA,2,2,120000,2025,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; General Freight; Grain, Feed, Hay",,,,,,,,,,,,,,,,
2653865,MARIA A CASCANTE,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2653865,FALSE,959 HOHENER STREET,HAYWARD,CA,94501,US,959 HOHENER STREET,HAYWARD,CA,94501,US,(510) 384-9857,,,,,,12-Jun-15,CA,2,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,,,,,,,,,,,,,,,,,
3537836,MDC TRUCKING INC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3537836,FALSE,7722 RENO LN,CITRUS HTS,CA,95610-2319,US,7722 RENO LN,CITRUS HTS,CA,95610-2319,US,(916) 724-9583,,ALANEDC@GMAIL.COM,16-Jan-25,10000,2024,17-Dec-20,CA,2,2,10000,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
3233405,ALEJANDRO FRANCO GARCIA,AF TRUCKING,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3233405,FALSE,13553 W STAGECOACH DR,ODESSA,TX,79763,US,13553 W STAGECOACH DR,ODESSA,TX,79763,US,(432) 631-8338,,ALEJANDROFRANCO12345.AF@GMAIL.COM,5-Apr-24,25000,2023,15-Jan-19,TX,2,2,25000,2023,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Oilfield Equipment,,,,,,,,,,,,,,,,
3575974,PRONTO PALLETS LLC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3575974,FALSE,5565 LEO PARK ROAD,WEST JORDAN,UT,84081-5623,US,2773 W 7550 S,WEST JORDAN,UT,84084-3738,US,(801) 403-8611,,CAMVALLE09@GMAIL.COM,6-Jun-25,,,24-Feb-21,UT,2,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight; OTHER,,,,,,,,,,,,,,,,
3263476,HANSON DRYWALL INC,,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3263476,FALSE,113 ASTI CT,LINCOLN,CA,95648-8903,US,113 ASTI CT,LINCOLN,CA,95648-8903,US,(916) 964-9990,(408) 461-2099,IBEST@HANSONDRYWALLINC.COM,3-Mar-25,500,2024,25-Mar-19,CA,2,2,500,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
2764104,SKY PARADISE GROUP INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2764104,TRUE,101 S KRAEMER BLVD 250,PLACENTIA,CA,92870,US,101 S KRAEMER BLVD 250,PLACENTIA,CA,92870,US,(949) 395-4343,,,,,,1-Jul-15,CA,1,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,,,,,,,,,,,,,,,,,
2069973,SUPERIOR TRACK MAINTENANCE,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2069973,FALSE,1609 49TH AVE N,MINNEAPOLIS,MN,55430,US,P O BOX 29398,BROOKLYN CENTER,MN,55429,US,(763) 439-1805,,BLEMBCKE1@MSN.COM,26-Aug-10,,,26-Aug-10,MN,1,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,"Building Materials; Construction; Machinery, Large Objects",,,,,,,,,,,,,,,,
4258561,LAXMAN DAS TRANSPORT INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=4258561,FALSE,3660 W SAN JOSE AVE APT 105,FRESNO,CA,93711,US,3660 W SAN JOSE AVE APT 105,FRESNO,CA,93711,US,(267) 699-1235,,JAGRITJ66@GMAIL.COM,18-Jan-25,65000,2024,24-Jun-24,CA,1,2,65000,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,16,1,MOTOR TRANSPORT MUTUAL RRG INC,1,8,8,0,0,7/19/24,7/19/24,MOTOR TRANSPORT MUTUAL RRG INC,0,16,0,0,0
1145615,CERTIFIED AUTO RECYCLERS,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1145615,FALSE,3827 CROSSTOWN BLVD,HAM LAKE,MN,55304,US,3827 CROSSTOWN BLVD,HAM LAKE,MN,55304,US,(763) 434-7000,(763) 413-2595,,12-Mar-03,0,,27-Jun-03,MN,1,2,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,PARTS,,,,,,,,,,,,,,,,
1789242,C BAR C DEVELOPMENT INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1789242,FALSE,1742 W LAKELAND DRIVE,CASA GRANDE,AZ,85222,US,PO BOX 3135,CASA GRANDE,AZ,85222,US,(480) 440-8024,(702) 442-8024,CBARCDEVELOPMENT@GMAIL.COM,7-Jul-08,,,7-Jul-08,AZ,1,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Building Materials; Construction; POTABLE WATER,,,,,,,,,,,,,,,,
890725,FISH CONSTRUCTION INC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=890725,FALSE,513 W QUAIL RUN,SPANISH FORK,UT,84660,US,513 W QUAIL RUN,SPANISH FORK,UT,84660,US,(801) 798-8357,(801) 798-1264,,,0,,29-Jun-00,UT,1,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Construction,,,,,,,,,,,,,,,,
1143052,L & M SERVICES INC,DOLLAR AND CENTS,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1143052,FALSE,1201 S BROADWAY,ROCHESTER,MN,55904,US,1201 S BROADWAY,ROCHESTER,MN,55904,US,(507) 536-0980,(507) 281-8002,,18-Mar-03,20000,2002,23-Jun-03,MN,1,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight,,,,,,,,,,,,,,,,
3056035,YUBA BUS LLC,,BAD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3056035,TRUE,128 ORCHARD ST,NEVADA CITY,CA,95959-2223,US,PO BOX 2003,NEVADA CITY,CA,95959-1941,US,(530) 517-8272,,YUBABUS@GMAIL.COM,5-Oct-17,,,5-Oct-17,CA,1,1,0,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,Passengers,,,,,,,,,,,,,,,,
3333987,VICENTE PAUL CORONA,DIVERSIFIED CREATIVE SERVICES AND PALLET RACK,GREAT,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3333987,FALSE,229 NATIONAL CITY BLVD,NATIONAL CITY,CA,91950-1108,US,229 NATIONAL CITY BLVD,NATIONAL CITY,CA,91950-1108,US,(619) 300-8778,,DESIGNERSCS@GMAIL.COM,12-Sep-19,1,2018,12-Sep-19,CA,1,2,0,0,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,FURNITURE AND PA,,,,,,,,,,,,,,,,
3556121,DIGITIX BUSINESS SOLUTIONS LLC,RELIABLE MOVING COMPANY,GOOD,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3556121,FALSE,5056 S EVAANSTON ST,AURORA,CO,80015-2204,US,4255 S BUCKLEY RD,AURORA,CO,80013-2951,US,(303) 345-5281,,ROBINJESSY@GMAIL.COM,31-Jan-24,194428,2024,23-Jan-21,CO,1,2,194428,2024,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,N,ACTIVE,General Freight; Household Goods,,,,,,,,,,,,,,,,
